"","tfidf simlarity","edit distance","edit distance similarity"
"( 0 , 0 )",1,0,1
"( 0 , 1 )",0.0883883476483184,79,0.254716981132076
"( 0 , 2 )",0.0833333333333333,83,0.216981132075472
"( 0 , 3 )",0,90,0.194690265486726
"( 0 , 4 )",0.111803398874989,89,0.160377358490566
"( 0 , 5 )",0,86,0.188679245283019
"( 0 , 6 )",0,104,0.181102362204724
"( 0 , 7 )",0,81,0.235849056603774
"( 0 , 8 )",0.0883883476483184,83,0.216981132075472
"( 0 , 9 )",0,85,0.19811320754717
"( 0 , 10 )",0,83,0.216981132075472
"( 0 , 11 )",0,85,0.19811320754717
"( 0 , 12 )",0,83,0.216981132075472
"( 0 , 13 )",0,92,0.148148148148148
"( 0 , 14 )",0,80,0.245283018867924
"( 0 , 15 )",0,97,0.163793103448276
"( 0 , 16 )",0,88,0.169811320754717
"( 0 , 17 )",0,92,0.132075471698113
"( 0 , 18 )",0,92,0.132075471698113
"( 0 , 19 )",0.0645497224367903,88,0.169811320754717
"( 0 , 20 )",0,90,0.141509433962264
"( 0 , 21 )",0,83,0.216981132075472
"( 0 , 22 )",0.125,86,0.188679245283019
"( 0 , 23 )",0,82,0.226415094339623
"( 0 , 24 )",0,87,0.179245283018868
"( 0 , 25 )",0,82,0.226415094339623
"( 0 , 26 )",0,83,0.216981132075472
"( 0 , 27 )",0,84,0.207547169811321
"( 0 , 28 )",0,86,0.188679245283019
"( 0 , 29 )",0,82,0.226415094339623
"( 0 , 30 )",0,88,0.169811320754717
"( 0 , 31 )",0,88,0.169811320754717
"( 0 , 32 )",0,82,0.226415094339623
"( 0 , 33 )",0,85,0.19811320754717
"( 0 , 34 )",0.0693375245281536,93,0.203389830508475
"( 0 , 35 )",0.111803398874989,88,0.169811320754717
"( 0 , 36 )",0,93,0.154545454545455
"( 0 , 37 )",0,92,0.132075471698113
"( 0 , 38 )",0,86,0.188679245283019
"( 0 , 39 )",0,87,0.179245283018868
"( 0 , 40 )",0.0790569415042095,88,0.169811320754717
"( 0 , 41 )",0,89,0.160377358490566
"( 0 , 42 )",0,79,0.254716981132076
"( 0 , 43 )",0,90,0.150943396226415
"( 0 , 44 )",0,83,0.216981132075472
"( 0 , 45 )",0,84,0.207547169811321
"( 0 , 46 )",0,86,0.188679245283019
"( 0 , 47 )",0,87,0.179245283018868
"( 0 , 48 )",0.133630620956212,108,0.175572519083969
"( 0 , 49 )",0.0833333333333333,87,0.169811320754717
"( 0 , 50 )",0,82,0.226415094339623
"( 0 , 51 )",0.0753778361444409,89,0.160377358490566
"( 0 , 52 )",0,86,0.188679245283019
"( 0 , 53 )",0,84,0.207547169811321
"( 0 , 54 )",0,84,0.207547169811321
"( 0 , 55 )",0,85,0.19811320754717
"( 0 , 56 )",0,84,0.207547169811321
"( 0 , 57 )",0,80,0.245283018867924
"( 0 , 58 )",0,84,0.207547169811321
"( 0 , 59 )",0,89,0.160377358490566
"( 0 , 60 )",0,83,0.216981132075472
"( 0 , 61 )",0,100,0.180327868852459
"( 0 , 62 )",0,88,0.169811320754717
"( 0 , 63 )",0,83,0.216981132075472
"( 0 , 64 )",0,88,0.169811320754717
"( 0 , 65 )",0,87,0.179245283018868
"( 0 , 66 )",0,87,0.179245283018868
"( 0 , 67 )",0,82,0.226415094339623
"( 0 , 68 )",0,84,0.207547169811321
"( 0 , 69 )",0,84,0.207547169811321
"( 0 , 70 )",0,89,0.160377358490566
"( 0 , 71 )",0,84,0.207547169811321
"( 0 , 72 )",0,85,0.188679245283019
"( 0 , 73 )",0.102062072615966,90,0.150943396226415
"( 0 , 74 )",0,83,0.216981132075472
"( 0 , 75 )",0.111803398874989,89,0.160377358490566
"( 0 , 76 )",0,84,0.207547169811321
"( 0 , 77 )",0.111803398874989,89,0.160377358490566
"( 0 , 78 )",0,85,0.19811320754717
"( 0 , 79 )",0,83,0.216981132075472
"( 0 , 80 )",0,96,0.0943396226415094
"( 0 , 81 )",0,84,0.207547169811321
"( 0 , 82 )",0,85,0.188679245283019
"( 0 , 83 )",0.102062072615966,86,0.188679245283019
"( 0 , 84 )",0,89,0.160377358490566
"( 0 , 85 )",0,83,0.216981132075472
"( 0 , 86 )",0.0721687836487032,84,0.207547169811321
"( 0 , 87 )",0,84,0.207547169811321
"( 0 , 88 )",0.102062072615966,84,0.207547169811321
"( 0 , 89 )",0,82,0.226415094339623
"( 0 , 90 )",0.0721687836487032,87,0.179245283018868
"( 0 , 91 )",0.0645497224367903,89,0.160377358490566
"( 0 , 92 )",0,84,0.207547169811321
"( 0 , 93 )",0,82,0.226415094339623
"( 0 , 94 )",0,87,0.179245283018868
"( 0 , 95 )",0.0790569415042095,78,0.254716981132076
"( 0 , 96 )",0.111803398874989,83,0.216981132075472
"( 0 , 97 )",0.102062072615966,85,0.19811320754717
"( 0 , 98 )",0.0753778361444409,88,0.169811320754717
"( 0 , 99 )",0.0883883476483184,87,0.179245283018868
"( 0 , 100 )",0,91,0.141509433962264
"( 0 , 101 )",0,89,0.160377358490566
"( 0 , 102 )",0,88,0.169811320754717
"( 0 , 103 )",0,88,0.169811320754717
"( 0 , 104 )",0,85,0.19811320754717
"( 0 , 105 )",0,87,0.179245283018868
"( 0 , 106 )",0,81,0.235849056603774
"( 0 , 107 )",0,85,0.19811320754717
"( 0 , 108 )",0.0693375245281536,92,0.203389830508475
"( 0 , 109 )",0.0944911182523068,84,0.207547169811321
"( 0 , 110 )",0.102062072615966,84,0.207547169811321
"( 0 , 111 )",0.0721687836487032,82,0.226415094339623
"( 0 , 112 )",0.144337567297406,82,0.226415094339623
"( 0 , 113 )",0.111803398874989,85,0.19811320754717
"( 0 , 114 )",0.0944911182523068,82,0.226415094339623
"( 0 , 115 )",0.102062072615966,85,0.19811320754717
"( 0 , 116 )",0,86,0.188679245283019
"( 0 , 117 )",0,83,0.216981132075472
"( 0 , 118 )",0.102062072615966,88,0.169811320754717
"( 0 , 119 )",0.125,87,0.179245283018868
"( 0 , 120 )",0,86,0.188679245283019
"( 0 , 121 )",0.102062072615966,83,0.216981132075472
"( 0 , 122 )",0.204124145231932,85,0.19811320754717
"( 0 , 123 )",0.111803398874989,86,0.188679245283019
"( 0 , 124 )",0,87,0.179245283018868
"( 0 , 125 )",0,81,0.235849056603774
"( 0 , 126 )",0.111803398874989,87,0.179245283018868
"( 0 , 127 )",0.0944911182523068,86,0.188679245283019
"( 0 , 128 )",0.111803398874989,83,0.216981132075472
"( 0 , 129 )",0.111803398874989,84,0.207547169811321
"( 0 , 130 )",0.102062072615966,85,0.19811320754717
"( 0 , 131 )",0.158113883008419,81,0.235849056603774
"( 0 , 132 )",0.102062072615966,81,0.235849056603774
"( 0 , 133 )",0.111803398874989,84,0.207547169811321
"( 0 , 134 )",0,83,0.216981132075472
"( 0 , 135 )",0,86,0.188679245283019
"( 0 , 136 )",0.102062072615966,84,0.207547169811321
"( 0 , 137 )",0.0883883476483184,84,0.207547169811321
"( 0 , 138 )",0.111803398874989,82,0.226415094339623
"( 0 , 139 )",0.0944911182523068,79,0.235849056603774
"( 0 , 140 )",0.111803398874989,85,0.19811320754717
"( 0 , 141 )",0.111803398874989,82,0.226415094339623
"( 0 , 142 )",0.102062072615966,83,0.216981132075472
"( 0 , 143 )",0.0883883476483184,82,0.226415094339623
"( 0 , 144 )",0.0883883476483184,82,0.226415094339623
"( 0 , 145 )",0,83,0.216981132075472
"( 0 , 146 )",0.102062072615966,82,0.226415094339623
"( 0 , 147 )",0,87,0.179245283018868
"( 0 , 148 )",0,89,0.160377358490566
"( 0 , 149 )",0,94,0.113207547169811
"( 0 , 150 )",0,87,0.179245283018868
"( 0 , 151 )",0,90,0.150943396226415
"( 0 , 152 )",0,84,0.207547169811321
"( 0 , 153 )",0,85,0.19811320754717
"( 0 , 154 )",0,88,0.169811320754717
"( 0 , 155 )",0,96,0.157894736842105
"( 0 , 156 )",0,118,0.186206896551724
"( 0 , 157 )",0,86,0.188679245283019
"( 0 , 158 )",0,89,0.160377358490566
"( 0 , 159 )",0,84,0.207547169811321
"( 0 , 160 )",0,88,0.169811320754717
"( 0 , 161 )",0,89,0.160377358490566
"( 0 , 162 )",0,88,0.160377358490566
"( 0 , 163 )",0,84,0.207547169811321
"( 0 , 164 )",0,83,0.207547169811321
"( 0 , 165 )",0,84,0.19811320754717
"( 0 , 166 )",0,83,0.207547169811321
"( 0 , 167 )",0.0753778361444409,90,0.166666666666667
"( 0 , 168 )",0.0833333333333333,83,0.216981132075472
"( 0 , 169 )",0,83,0.216981132075472
"( 0 , 170 )",0,82,0.226415094339623
"( 0 , 171 )",0,87,0.179245283018868
"( 0 , 172 )",0,87,0.179245283018868
"( 0 , 173 )",0,89,0.18348623853211
"( 0 , 174 )",0,84,0.207547169811321
"( 0 , 175 )",0,87,0.179245283018868
"( 0 , 176 )",0,84,0.19811320754717
"( 0 , 177 )",0,84,0.207547169811321
"( 0 , 178 )",0,84,0.207547169811321
"( 0 , 179 )",0,83,0.207547169811321
"( 0 , 180 )",0,87,0.179245283018868
"( 0 , 181 )",0,90,0.150943396226415
"( 0 , 182 )",0,100,0.186991869918699
"( 0 , 183 )",0,84,0.207547169811321
"( 0 , 184 )",0.0883883476483184,81,0.235849056603774
"( 0 , 185 )",0,80,0.245283018867924
"( 0 , 186 )",0.0790569415042095,87,0.179245283018868
"( 0 , 187 )",0,83,0.216981132075472
"( 0 , 188 )",0,88,0.169811320754717
"( 0 , 189 )",0,89,0.160377358490566
"( 0 , 190 )",0,92,0.132075471698113
"( 0 , 191 )",0,86,0.188679245283019
"( 0 , 192 )",0,85,0.19811320754717
"( 0 , 193 )",0,84,0.207547169811321
"( 0 , 194 )",0,86,0.188679245283019
"( 0 , 195 )",0,85,0.19811320754717
"( 0 , 196 )",0,88,0.169811320754717
"( 0 , 197 )",0,118,0.208053691275168
"( 0 , 198 )",0,88,0.169811320754717
"( 0 , 199 )",0,86,0.188679245283019
"( 0 , 200 )",0,81,0.235849056603774
"( 0 , 201 )",0,85,0.19811320754717
"( 0 , 202 )",0,113,0.208333333333333
"( 0 , 203 )",0,84,0.207547169811321
"( 0 , 204 )",0.0753778361444409,101,0.185483870967742
"( 0 , 205 )",0,93,0.198275862068966
"( 0 , 206 )",0,87,0.179245283018868
"( 0 , 207 )",0,86,0.179245283018868
"( 0 , 208 )",0,90,0.150943396226415
"( 0 , 209 )",0,81,0.235849056603774
"( 0 , 210 )",0,84,0.207547169811321
"( 0 , 211 )",0,85,0.19811320754717
"( 0 , 212 )",0,86,0.188679245283019
"( 0 , 213 )",0,91,0.192982456140351
"( 0 , 214 )",0,117,0.204081632653061
"( 0 , 215 )",0,81,0.226415094339623
"( 0 , 216 )",0,85,0.19811320754717
"( 0 , 217 )",0,82,0.226415094339623
"( 0 , 218 )",0,95,0.24031007751938
"( 0 , 219 )",0,83,0.216981132075472
"( 0 , 220 )",0,82,0.226415094339623
"( 0 , 221 )",0,86,0.188679245283019
"( 0 , 222 )",0,91,0.141509433962264
"( 0 , 223 )",0,91,0.141509433962264
"( 0 , 224 )",0,85,0.19811320754717
"( 0 , 225 )",0,86,0.188679245283019
"( 0 , 226 )",0,83,0.216981132075472
"( 0 , 227 )",0,88,0.169811320754717
"( 0 , 228 )",0,88,0.169811320754717
"( 0 , 229 )",0,90,0.150943396226415
"( 0 , 230 )",0,85,0.19811320754717
"( 0 , 231 )",0,92,0.163636363636364
"( 0 , 232 )",0,86,0.188679245283019
"( 0 , 233 )",0,86,0.188679245283019
"( 0 , 234 )",0,89,0.160377358490566
"( 0 , 235 )",0,88,0.169811320754717
"( 0 , 236 )",0,84,0.207547169811321
"( 0 , 237 )",0,94,0.113207547169811
"( 0 , 238 )",0,94,0.113207547169811
"( 0 , 239 )",0.0721687836487032,83,0.216981132075472
"( 0 , 240 )",0,87,0.179245283018868
"( 0 , 241 )",0,84,0.207547169811321
"( 0 , 242 )",0,83,0.216981132075472
"( 0 , 243 )",0,85,0.188679245283019
"( 0 , 244 )",0,86,0.188679245283019
"( 0 , 245 )",0,86,0.188679245283019
"( 0 , 246 )",0,84,0.19811320754717
"( 0 , 247 )",0,84,0.19811320754717
"( 0 , 248 )",0,85,0.19811320754717
"( 0 , 249 )",0,89,0.160377358490566
"( 0 , 250 )",0,84,0.207547169811321
"( 0 , 251 )",0,107,0.22463768115942
"( 0 , 252 )",0,93,0.146788990825688
"( 0 , 253 )",0,89,0.160377358490566
"( 0 , 254 )",0,85,0.19811320754717
"( 0 , 255 )",0,84,0.207547169811321
